,Y 2001,Y 2012,Y 2015,X 2001,X 2012,X 2015,Z 2001 (Elipsoidal),Z 2012 (Elipsoidal),Z 2015
26JUM,2270244.265,2270239.953,2270239.956,313072.8404,313072.368,313072.37,1744.1998,1744.048,1743.929
28JUM,2269368.536,2269368.83,2269368.833,312282.6523,312282.494,312282.496,1744.9691,1744.525,1744.338
29JUM,2268560.908,2268560.582,2268560.579,312217.0754,312272.509,312272.515,1742.5285,1742.245,1742.141
30JUM,2269088.269,2269088.266,2269088.268,311478.5451,311478.318,311478.321,1745.1919,1745.081,1745.141
40JUM,2273203.139,2273203.679,2273203.679,309468.0618,309480.861,309480.862,1748.2154,1748.121,1748.151
41JUM,2272834.727,2272842.407,2272842.42,310807.5725,310805.559,310805.56,1746.2304,1745.828,1745.681
42JUM,2271789.731,2271789.641,2271789.639,311488.5204,311488.326,311488.329,1744.0368,1743.36,1743.187
45JUM,2270035.723,2270027.944,2270027.947,312341.5967,312373.998,312374.001,1745.293,1745.011,1744.899
46JUM,2269965.219,2269965.101,2269965.105,311529.3925,311529.225,311529.231,1743.6128,1743.365,1743.275
47JUM,2270736.026,2270740.872,2270740.875,312415.7899,312422.987,312422.984,1745.2606,1745.044,1744.893
48JUM,2268045.36,2268045.241,2268045.239,311394.9749,311394.819,311394.823,1743.009,1742.822,1742.787
55JUM,2272704.562,2272704.461,2272704.459,310143.9234,310143.755,310143.752,1749.0257,1748.826,1748.729
56JUM,2271873.029,2271866.601,2271866.597,310271.7951,310259.718,310259.719,1748.1362,1747.986,1747.909
57JUM,2271404.539,2271404.419,2271404.426,311182.5466,311182.352,311182.351,1746.7975,1746.815,1746.659
58JUM,2271093.852,2271093.845,2271093.85,311480.2336,311477.661,311477.669,1743.1999,1742.594,1742.461
061jum,,2270280.702,2270280.706,,311082.654,311082.658,,1755.248,1755.332
68JUM,2270575.421,2270575.383,2270575.384,311267.2164,311259.233,311259.243,1744.7532,1744.833,1744.695
72JUM,2270983.674,2270983.546,2270983.562,311337.1339,311336.998,311337.001,1745.1246,1745.098,1744.951
80JUM,2271892.298,2271867.552,2271867.558,310948.5007,310915.584,310915.581,1747.047,1746.885,1746.849
101JUM,,2274647.325,2274647.324,,309947.095,309947.102,,1759.061,1758.934
102JUM,,2275549.725,2275549.722,,309945.573,309945.579,,1760.642,1760.605
103JUM,,2276493.376,2276493.378,,309735.875,309735.874,,1762.786,1762.727
104JUM,,2276162.588,2276162.586,,310747.578,310747.58,,1763.171,1763.085
1012JUM,,2274174.704,2274174.699,,310037.349,310037.356,,1747.163,1746.992